"Country","Month","Date","Depth","Day"
"Bhutan","August",2000-08-01,-0.236,1
"Bhutan","August",2001-08-01,0.546,1
"Bhutan","August",2002-08-01,0.274,1
"Bhutan","August",2003-08-01,1.29,1
"Bhutan","August",2004-08-01,1.087,1
"Bhutan","August",2005-08-01,0.924,1
"Bhutan","August",2006-08-01,1.194,1
"Bhutan","August",2007-08-01,1.189,1
"Bhutan","August",2008-08-01,0.397,1
"Bhutan","August",2009-08-01,1.266,1
"Bhutan","August",2010-08-01,1.308,1
"Bhutan","August",2011-08-01,0.335,1
"Bhutan","August",2012-08-01,0.857,1
"Bhutan","August",2013-08-01,0.515,1
"Bhutan","August",2014-08-01,0.416,1
"Bhutan","August",2015-08-01,0.752,1
"Bhutan","August",2016-08-01,2.032,1
"Bhutan","August",2017-08-01,1.515,1
